freq,correction_raw_db,correction_smoothed_db
20.144928,4.500000,4.720169
20.281170,4.350147,4.728741
20.418334,4.200293,4.737314
20.556426,4.299707,4.753280
20.695451,4.399609,4.769261
20.835417,4.798045,4.790587
20.976329,5.197654,4.811934
21.118194,5.398631,4.836140
21.261019,5.598436,4.860363
21.404809,5.302639,4.884890
21.549572,5.002933,4.909419
21.695314,4.703226,4.931847
21.842042,4.403519,4.954253
21.989762,4.597458,4.972215
22.138482,4.797263,4.990124
22.288207,5.046334,5.001297
22.438944,5.296090,5.012377
22.590701,5.250831,5.014541
22.743485,5.200880,5.016562
22.897301,5.150929,5.007931
23.052158,5.100978,4.999108
23.208062,5.491789,4.978892
23.365021,5.891398,4.958449
23.523041,5.460117,4.927524
23.682130,5.010557,4.896369
23.842295,5.048778,4.857670
24.003543,5.098729,4.818789
24.165882,5.148680,4.777157
24.329318,5.198631,4.735454
24.493860,4.859922,4.696896
24.659515,4.510264,4.658427
24.826290,4.257576,4.628854
24.994193,4.007820,4.599549
25.163231,3.661290,4.583315
25.333413,3.311632,4.567504
25.504746,3.444868,4.566316
25.677237,3.594721,4.565633
25.850895,3.792766,4.578121
26.025727,3.992571,4.591091
26.201742,4.480938,4.613286
26.378947,4.980450,4.635837
26.557351,5.191984,4.662339
26.736961,5.391789,4.689002
26.917786,5.687390,4.714440
27.099834,5.987097,4.739826
27.283114,5.521994,4.760087
27.467632,5.022483,4.780116
27.653399,4.618377,4.793016
27.840422,4.218768,4.805579
28.028710,4.200000,4.810927
28.218271,4.200000,4.815918
28.409114,4.770088,4.815003
28.601248,5.369501,4.813784
28.794681,5.400000,4.808660
28.989423,5.400000,4.803327
29.185482,5.068817,4.796054
29.382866,4.719159,4.788674
29.581586,4.652786,4.780704
29.781649,4.602835,4.772700
29.983066,4.411535,4.764373
30.185845,4.211730,4.756026
30.389995,4.247019,4.746451
30.595526,4.296970,4.736799
30.802447,4.722287,4.724025
31.010767,5.171848,4.711050
31.220496,4.965885,4.692572
31.431644,4.716129,4.673726
31.644220,4.886901,4.647225
31.858233,5.086706,4.620195
32.073694,5.193255,4.584232
32.290612,5.293157,4.547633
32.508996,5.253470,4.502060
32.728858,5.203519,4.455828
32.950207,4.735679,4.401665
33.173053,4.236168,4.346901
33.397406,3.921994,4.285753
33.623276,3.622287,4.224108
33.850674,3.600000,4.157364
34.079610,3.600000,4.090211
34.310094,3.600000,4.018397
34.542137,3.600000,3.946198
34.775750,4.014370,3.868782
35.010942,4.463930,3.790923
35.247725,4.316227,3.706769
35.486109,4.116422,3.622067
35.726105,3.870772,3.530375
35.967725,3.621017,3.438057
36.210978,3.462757,3.339441
36.455877,3.312903,3.240246
36.702432,3.528250,3.137510
36.950655,3.778006,3.034440
37.200556,3.526686,2.932767
37.452148,3.226979,2.831228
37.705441,2.745455,2.737637
37.960447,2.245943,2.644832
38.217177,1.837146,2.566978
38.475644,1.437537,2.490638
38.735859,1.309482,2.435311
38.997834,1.209580,2.382164
39.261581,1.335484,2.353925
39.527111,1.485337,2.328328
39.794438,1.590127,2.328579
40.063572,1.690029,2.331634
40.334526,1.879863,2.358480
40.607313,2.079668,2.387964
40.881945,2.279472,2.436794
41.158434,2.479277,2.487815
41.436793,2.410459,2.552456
41.717034,2.310557,2.618673
41.999171,2.523363,2.692776
42.283216,2.773118,2.767810
42.569182,3.067449,2.846141
42.857082,3.367155,2.924870
43.146929,3.577908,3.004137
43.438737,3.777713,3.083470
43.732518,3.666862,3.162428
44.028286,3.517009,3.241339
44.326054,3.367155,3.320149
44.625836,3.217302,3.398945
44.927645,3.111632,3.477840
45.231496,3.011730,3.556748
45.537401,3.044086,3.634454
45.845376,3.094037,3.712001
46.155433,3.275953,3.784344
46.467587,3.475758,3.855982
46.781853,3.719453,3.915204
47.098243,3.969208,3.972712
47.416774,4.262757,4.007763
47.737459,4.562463,4.039655
48.060313,4.818475,4.037557
48.385350,5.068231,4.030591
48.712585,5.317986,3.978538
49.042034,5.567742,3.919914
49.373710,5.730499,3.807577
49.707630,5.880352,3.687274
50.043808,5.552786,3.508700
50.382260,5.153177,3.321333
50.723001,4.623656,3.075948
51.066046,4.074194,2.821658
51.411411,3.524731,2.514197
51.759112,2.975269,2.198436
52.109165,2.468915,1.837886
52.461585,1.969404,1.470227
52.816388,1.426882,1.068133
53.173591,0.877419,0.660483
53.533210,0.327957,0.229132
53.895261,-0.221505,-0.206108
54.259761,-0.728152,-0.655255
