* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,0 dBFS, measurement signal peak level -27,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,7512 ms (258 mm, 10,14 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 133
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.144928 34.737 84.9049
20.290907 37.307 88.6716
20.437943 39.896 93.4663
20.586044 42.060 96.1778
20.735220 43.404 97.1171
20.885475 44.375 97.9113
21.036821 45.005 98.8786
21.189262 45.311 100.1003
21.342808 45.382 102.1628
21.497467 45.189 104.9393
21.653246 44.850 108.8540
21.810154 44.340 114.0610
21.968201 43.767 120.1887
22.127390 43.215 127.3323
22.287735 42.646 135.0253
22.449242 42.093 142.1885
22.611917 41.533 149.0571
22.775772 40.751 155.3423
22.940815 39.776 160.7029
23.107054 38.371 167.7001
23.274498 36.349 175.6181
23.443153 34.151 -170.7377
23.613033 31.680 -144.9272
23.784142 29.744 -116.0758
23.956491 29.862 -93.2489
24.130091 30.837 -74.0603
24.304947 30.860 -61.8944
24.481071 30.373 -52.9676
24.658470 29.107 -34.2423
24.837156 27.531 -8.8224
25.017136 28.550 18.8845
25.198421 31.531 47.5897
25.381020 33.901 61.1683
25.564941 35.859 62.0458
25.750195 37.051 59.7047
25.936790 37.530 53.4677
26.124741 37.467 45.3557
26.314051 36.846 34.7590
26.504732 35.653 20.6203
26.696796 34.015 2.0983
26.890253 32.170 -25.0166
27.085112 30.630 -57.4925
27.281382 30.775 -91.8869
27.479073 31.656 -123.7417
27.678198 32.776 -146.5109
27.878765 33.559 -163.7611
28.080786 33.635 -176.5804
28.284271 32.865 176.7710
28.489231 31.198 176.7041
28.695675 30.195 -163.8539
28.903616 30.143 -131.6696
29.113064 32.821 -111.1716
29.324028 36.217 -99.5062
29.536524 38.520 -99.7667
29.750557 40.106 -104.4376
29.966141 40.936 -111.8210
30.183289 41.134 -120.5227
30.402010 40.683 -131.3047
30.622314 39.538 -144.6797
30.844217 37.825 -163.9637
31.067726 35.614 169.4966
31.292856 34.518 135.5907
31.519617 34.410 101.4792
31.748020 35.463 78.2192
31.978081 36.184 63.3362
32.209808 36.309 56.4286
32.443211 35.798 55.3936
32.678310 35.064 59.5210
32.915108 34.332 67.9963
33.153625 34.099 76.1734
33.393871 34.110 81.6424
33.635857 34.197 82.0542
33.879597 34.070 77.6081
34.125103 33.899 69.2399
34.372387 33.831 57.8200
34.621464 34.230 45.8401
34.872345 34.982 34.5378
35.125042 35.978 24.9748
35.379574 36.811 16.9310
35.635948 37.242 10.0038
35.894180 37.067 4.5075
36.154285 36.007 1.3581
36.416275 33.803 7.9864
36.680161 31.905 30.9550
36.945961 32.531 77.5123
37.213688 35.201 97.3596
37.483353 37.646 100.0821
37.754974 38.834 91.6421
38.028561 38.955 78.2841
38.304131 38.161 60.6823
38.581699 36.551 37.7907
38.861279 34.269 8.4854
39.142883 31.530 -28.4275
39.426529 28.364 -74.4999
39.712231 25.898 -137.5601
40.000000 25.624 153.9956
40.289856 28.419 101.7985
40.581814 30.283 73.0961
40.875885 30.549 58.3269
41.172089 29.041 59.1205
41.470440 26.532 82.2245
41.770950 24.701 128.6227
42.073643 26.033 161.6756
42.378525 27.350 -172.5025
42.685616 29.497 -141.9964
42.994934 32.630 -112.1101
43.306492 36.183 -90.3309
43.620308 39.419 -77.0113
43.936401 42.644 -67.0663
44.254780 46.068 -60.2228
44.575470 49.459 -58.9740
44.898483 52.598 -63.8332
45.223835 55.377 -73.7546
45.551544 57.771 -87.1310
45.881630 59.796 -102.5565
46.214108 61.478 -119.0683
46.548996 62.853 -136.0583
46.886307 63.963 -153.1115
47.226067 64.860 -169.8735
47.568283 65.601 174.0180
47.912983 66.239 158.9029
48.260181 66.817 145.0184
48.609894 67.363 132.4138
48.962143 67.892 120.9296
49.316940 68.408 110.2624
49.674313 68.911 100.0807
50.034271 69.406 90.1347
50.396843 69.901 80.3112
50.762039 70.406 70.6301
51.129883 70.923 61.1991
51.500389 71.446 52.1534
51.873581 71.965 43.5916
52.249481 72.478 35.5153
52.628101 72.996 27.7811
53.009464 73.539 20.1023
53.393593 74.116 12.1393
53.780506 74.718 3.6617
54.170223 75.321 -5.3170
54.562763 75.902 -14.5399
54.958145 76.448 -23.6550
55.356396 76.966 -32.4170
55.757530 77.462 -40.8138
56.161572 77.935 -49.0287
56.568542 78.363 -57.2319
56.978462 78.728 -65.3563
57.391350 79.045 -73.0449
57.807232 79.388 -79.8700
58.226128 79.883 -85.7466
58.648056 80.634 -91.2270
59.073048 81.631 -97.3398
59.501114 82.747 -105.0291
59.932281 83.826 -114.6228
60.366577 84.755 -125.7823
60.804020 85.488 -137.7714
61.244629 86.039 -149.7888
61.688435 86.471 -161.2012
62.135452 86.881 -171.7994
62.585712 87.350 178.0856
63.039234 87.892 167.8525
63.496040 88.460 157.1272
63.956161 89.016 146.0161
64.419617 89.593 134.8704
64.886421 90.288 123.6379
65.356621 91.152 111.5262
65.830215 92.099 97.3170
66.307251 92.934 80.2563
66.787743 93.478 60.4835
67.271713 93.601 38.8543
67.759193 93.233 16.6535
68.250206 92.350 -4.7134
68.744774 90.985 -23.7961
69.242928 89.267 -39.5457
69.744690 87.420 -52.1238
70.250084 85.671 -63.1215
70.759148 84.016 -74.1295
71.271896 82.212 -84.8468
71.788361 80.028 -92.8734
72.308571 77.479 -95.6387
72.832550 74.897 -92.6205
73.360321 72.786 -85.3933
73.891922 71.585 -75.4846
74.427376 71.640 -65.5507
74.966705 72.617 -59.4188
75.509949 73.721 -58.4244
76.057121 74.640 -60.7017
76.608261 75.441 -64.2321
77.163399 76.236 -68.4445
77.722557 77.052 -73.3415
78.285767 77.889 -78.7853
78.853058 78.775 -84.6276
79.424461 79.734 -91.0159
80.000000 80.748 -98.2587
80.579712 81.793 -106.5279
81.163628 82.877 -115.9473
81.751770 84.005 -126.9551
82.344177 85.109 -140.2887
82.940880 86.026 -156.5049
83.541901 86.583 -175.3521
84.147285 86.653 164.1990
84.757050 86.193 143.7087
85.371231 85.245 124.6731
85.989868 83.932 108.0775
86.612984 82.434 93.8749
87.240616 80.879 81.1859
87.872803 79.286 69.0791
88.509560 77.601 56.9639
89.150940 75.758 44.1721
89.796967 73.653 29.2828
90.447670 71.113 9.1971
91.103088 68.060 -22.1946
91.763260 65.766 -69.4854
92.428215 67.066 -122.2137
93.097992 70.167 -163.6819
93.772614 72.757 168.0990
94.452133 74.617 147.5073
95.136566 75.925 130.8911
95.825966 76.861 116.6088
96.520363 77.541 103.7791
97.219788 78.028 91.9368
97.924286 78.368 80.8804
98.633881 78.600 70.5298
99.348625 78.754 60.8633
100.068542 78.848 51.7838
100.793686 78.881 43.0369
101.524078 78.846 34.5298
102.259766 78.785 26.6335
103.000778 78.801 19.7046
103.747162 78.943 13.3761
104.498962 79.146 6.8428
105.256203 79.341 -0.1750
106.018929 79.583 -7.1924
106.787186 80.004 -13.8093
107.561012 80.649 -20.6938
108.340446 81.404 -29.3293
109.125526 82.102 -40.6204
109.916290 82.629 -54.0853
110.712791 82.919 -68.4531
111.515060 82.952 -82.7189
112.323143 82.770 -96.5635
113.137085 82.450 -109.9780
113.956924 82.041 -122.8101
114.782700 81.560 -134.7690
115.614464 81.051 -145.7207
116.452255 80.619 -155.8811
117.296112 80.341 -165.8258
118.146095 80.184 -176.2910
119.002228 80.034 172.3267
119.864563 79.766 160.4724
120.733154 79.318 149.4456
121.608040 78.804 140.6746
122.489258 78.622 134.1414
123.376869 79.113 127.5306
124.270905 80.028 118.1671
125.171425 80.894 105.4723
126.078468 81.499 90.6426
126.992081 81.873 75.0139
127.912323 82.094 59.1593
128.839233 82.135 43.0770
129.772842 81.913 27.0787
130.713242 81.398 12.0083
131.660431 80.618 -1.3367
132.614502 79.611 -12.4098
133.575485 78.455 -20.3774
134.543427 77.393 -24.1133
135.518387 76.934 -24.1226
136.500412 77.393 -24.0840
137.489548 78.306 -27.7881
138.485855 79.105 -35.3162
139.489380 79.622 -44.3461
140.500168 79.933 -53.2402
141.518295 80.125 -61.6398
142.543793 80.261 -69.3765
143.576721 80.418 -76.3291
144.617142 80.698 -82.7502
145.665100 81.184 -89.5603
146.720642 81.755 -98.1445
147.783844 82.094 -108.7319
148.854752 82.036 -119.4243
149.933411 81.756 -128.0054
151.019897 81.588 -134.4670
152.114243 81.690 -140.6558
153.216522 81.997 -148.1494
154.326797 82.315 -157.4380
155.445114 82.424 -168.2065
156.571533 82.201 -179.4966
157.706116 81.643 170.2559
158.848923 80.852 162.3516
160.000000 80.033 157.0042
161.159424 79.442 153.5161
162.327255 79.226 150.5913
163.503540 79.325 146.7100
164.688354 79.540 140.9189
165.881760 79.683 133.4414
167.083801 79.677 124.7686
168.294571 79.442 115.2461
169.514099 78.870 105.9409
170.742462 77.976 98.5391
171.979736 76.965 93.8989
173.225967 76.073 91.4651
174.481232 75.420 90.1072
175.745605 74.962 88.8044
177.019119 74.563 87.6943
178.301880 74.285 87.9460
179.593933 74.415 89.6885
180.895340 75.125 91.0295
182.206177 76.221 89.5469
183.526520 77.345 84.5168
184.856430 78.339 76.9983
186.195984 79.278 67.6260
187.545227 80.114 55.5234
188.904266 80.592 40.3054
190.273132 80.556 23.3228
191.651932 80.011 6.1201
193.040726 79.003 -10.6475
194.439575 77.524 -26.6204
195.848572 75.441 -39.7932
197.267761 72.582 -44.7717
198.697250 69.231 -37.9253
200.137085 66.861 -27.5532
201.587372 65.915 -23.8811
203.048157 64.679 -21.1536
204.519531 62.933 -4.6499
206.001556 63.604 26.1353
207.494324 67.031 48.9287
208.997925 70.268 53.0469
210.512405 72.754 45.8516
212.037857 74.611 34.0845
213.574371 75.985 20.9172
215.122025 77.039 7.4404
216.680893 77.901 -6.3101
218.251053 78.553 -20.8721
219.832581 78.899 -36.4814
221.425583 78.874 -52.6145
223.030121 78.444 -68.5134
224.646286 77.558 -82.9575
226.274170 76.197 -93.7603
227.913849 74.552 -98.1025
229.565399 73.572 -95.8623
231.228928 74.275 -94.3027
232.904510 75.576 -101.5896
234.592224 76.314 -117.5767
236.292191 76.262 -137.8643
238.004456 75.392 -158.6914
239.729126 73.632 -175.9995
241.466309 71.061 174.7700
243.216080 68.344 174.3462
244.978516 67.279 176.7178
246.753738 68.709 170.7952
248.541809 70.787 147.1282
250.342850 72.352 106.0095
252.156937 73.391 56.1501
253.984161 74.208 7.2893
255.824646 74.895 -34.7788
257.678467 75.492 -68.2998
259.545685 76.183 -95.1309
261.426483 76.957 -119.3740
263.320862 77.480 -144.0173
265.229004 77.492 -168.9685
267.150970 76.989 167.1421
269.086853 76.033 145.4722
271.036774 74.756 127.2229
273.000824 73.597 112.2534
274.979095 73.291 96.6450
276.971710 73.871 73.8416
278.978760 74.601 40.5640
281.000336 75.079 -2.1440
283.036591 75.166 -51.3062
285.087585 74.823 -103.5410
287.153442 73.981 -158.8142
289.234283 72.433 137.6631
291.330200 70.423 60.6558
293.441284 70.188 -23.7729
295.567688 72.139 -99.6650
297.709503 73.400 -159.5186
299.866821 72.970 159.9333
302.039795 71.526 144.8914
304.228485 71.776 144.7036
306.433044 73.828 135.8643
308.653595 75.426 112.7480
310.890228 75.678 83.4233
313.143066 74.555 62.1958
315.412231 73.681 52.9077
317.697845 74.381 37.9106
320.000000 75.003 8.8198
322.318848 74.875 -29.6804
324.654510 74.212 -78.8931
327.007080 72.943 -144.8711
329.376709 70.841 131.1870
331.763519 68.066 36.5996
334.167603 65.560 -55.3594
336.589142 65.007 -132.7285
339.028198 66.140 168.0415
341.484924 67.142 124.0762
343.959473 67.506 92.5820
346.451935 67.457 71.0073
348.962463 67.479 58.6675
351.491211 68.614 52.3809
354.038239 70.427 42.0991
356.603760 71.839 24.4321
359.187866 72.693 2.3350
